"","Corr"
"1052",0.308126
"1053",0.0862966
"1054",0.188862
"1055",0.0454718
"1056",0.0985168
"1057",0.353412
"1058",0.0487746
"1059",0.188336
"1060",0.221385
"1061",0.11931
"1062",0.157836
"1063",0.0952866
"1064",-0.00170824
"1065",0.254393
"1066",0.233113
"1067",0.171892
"1068",0.159695
"1069",0.226217
"1070",0.268737
"1071",0.256148
"1072",0.19902
"1073",0.169003
"1074",0.0486702
"1075",0.0784552
"1076",0.201906
"1077",0.209333
"1078",0.155107
"1079",0.130938
"1080",0.255177
"1081",0.140112
"1082",NA
"1083",0.133596
"1084",0.115244
"1085",0.266616
"1086",0.222087
"1087",0.0787832
"1088",0.182435
"1089",0.164652
"1090",0.272339
"1091",0.265866
"1092",0.22246
"1093",0.192476
"1094",0.161128
"1095",0.202079
"1096",0.128137
"1097",0.255379
"1098",0.255189
"1099",0.237335
"1100",0.159155
"1101",0.13522
"1102",0.249535
"1103",0.216488
"1104",0.27382
"1105",0.307163
"1106",0.244228
"1107",0.215318
"1108",0.137546
"1109",0.25386
"1110",0.0422712
"1111",0.145749
"1112",0.269657
"1113",0.237049
"1114",NA
"1115",0.126283
"1116",0.152874
"1117",0.134585
"1118",0.269576
"1119",0.221391
"1120",0.242055
"1121",0.172228
"1122",0.190351
"1123",0.200069
"1124",0.3043
"1125",0.300103
"1126",0.226043
"1127",0.171613
"1128",0.179116
"1129",0.202837
"1130",0.219095
"1131",0.223517
"1132",0.202914
"1133",0.244467
"1134",0.225779
"1135",0.274705
"1136",0.209368
"1137",0.0856107
"1138",0.119052
"1139",0.100015
"1140",0.299536
"1141",0.090736
"1142",NA
"1143",0.117937
"1144",0.0799228
"1145",0.216833
"1146",0.0558911
"1147",0.00250709
"1148",0.200011
"1149",0.255149
"1150",0.0824787
"1151",0.25212
"1152",0.274548
"1153",0.256657
"1154",0.215375
"1155",0.180318
"1156",0.14707
"1157",0.100454
"1158",0.0889425
"1159",0.32637
"1160",0.15193
"1161",0.147643
"1162",0.161339
"1163",0.386863
"1164",0.348327
"1165",NA
"1166",0.316756
"1167",0.398087
"1168",0.330801
"1169",0.436137
"1170",0.304345
"1171",0.301796
"1172",0.175532
"1173",0.2597
"1174",0.280469
"1175",0.382127
"1176",0.30687
"1177",0.274214
"1178",0.367756
"1179",0.393368
"1180",0.236373
"1181",0.277603
"1182",0.269404
"1183",0.163824
"1184",0.251667
"1185",0.401916
"1186",0.19525
"1187",0.323123
"1188",0.389453
"1189",0.277439
"1190",0.412742
"1191",0.394122
"1192",0.440499
"1193",0.14765
"1194",0.264883
"1195",0.27702
"1196",0.123049
"1197",0.222344
"1198",0.288615
"1199",0.181639
"1200",0.33738
"1201",0.362938
"1202",0.33776
"1203",0.443785
"1204",0.274575
"1205",0.223218
"1206",0.332076
"1207",0.429449
"1208",0.455313
"1209",0.355095
"1210",0.200429
"1211",0.232312
"1212",0.174385
"1213",0.265384
"1214",0.256367
"1215",0.248836
"1216",0.420631
"1217",0.444316
"1218",0.483616
"1219",0.261774
"1220",0.32951
"1221",0.208134
"1222",0.313413
"1223",0.467904
"1224",NA
"1225",0.179218
"1226",0.194267
"1227",0.142865
"1228",0.341523
"1229",0.17731
"1230",0.225668
"1231",0.384637
"1232",0.422822
"1233",0.150754
"1234",0.407773
"1235",0.358023
"1236",0.250996
"1237",0.403436
"1238",0.416774
"1239",NA
"1240",0.16984
"1241",0.222212
"1242",0.250387
"1243",0.332918
"1244",0.19182
"1245",0.250117
"1246",0.299149
"1247",0.287348
"1248",0.0370595
"1249",0.196945
"1250",0.309968
"1251",0.316261
"1252",0.162065
"1253",0.208589
"1254",0.242256
"1255",0.157014
"1256",0.195755
"1257",0.316758
"1258",0.320235
"1259",NA
"1260",0.1035
"1261",0.31613
"1262",0.382198
"1263",0.272939
"1264",0.308361
"1265",0.302597
"1266",0.237189
"1267",0.279154
"1268",0.134139
"1269",0.223907
"1270",0.395568
"1271",0.344459
"1272",0.375969
"1273",0.358513
"1274",0.303336
"1275",0.186641
"1276",0.116373
"1277",0.145306
"1278",0.350275
"1279",0.158999
"1280",0.151347
"1281",0.192905
"1282",0.255338
"1283",0.22042
"1284",0.278008
"1285",0.187824
"1286",0.23609
"1287",0.155439
"1288",0.124851
"1289",0.34295
"1290",0.253541
"1291",0.164003
"1292",0.328613
"1293",0.345542
"1294",0.242697
"1295",0.190842
"1296",0.17902
"1297",0.126672
"1298",0.16415
"1299",0.238562
"1300",0.280594
"1301",0.308757
"1302",0.126283
"1303",0.210691
"1304",0.0979508
"1305",0.267643
"1306",0.191028
"1307",0.110903
"1308",0.211152
"1309",0.109759
"1310",0.169416
"1311",0.139978
"1312",0.262472
"1313",0.0633376
"1314",0.185512
"1315",0.445738
"1316",0.166065
"1317",0.227558
"1318",0.181397
